country,year,tumor_deaths,digestive_deaths,tumor_rank
波多黎各,2001,5591.280251123581,1551.899588145509,2.0
波斯尼亚和黑塞哥维那,2001,7669.250642796257,1298.872194539228,2.0
泰国,2001,91328.17743238935,20516.42301415327,2.0
津巴布韦,2001,7670.768716715396,2931.052964011079,5.0
洪都拉斯,2001,2495.720281115734,2311.9816577443107,3.0
海地,2001,5159.329394310962,3458.480218008884,6.0
澳大利亚,2001,38895.28634150852,4203.425816305403,2.0
爱尔兰,2001,8188.612338860404,997.6983370257494,2.0
爱沙尼亚,2001,3512.0709921609878,627.2953241199494,2.0
牙买加,2001,3231.121444914006,449.5346445940132,2.0
特立尼达拉岛和多巴哥,2001,1462.0685978423471,370.1819665982302,3.0
玻利维亚国,2001,6622.104001540726,3803.085996874185,3.0
瑙鲁共和国,2001,8.101100859204143,3.6936641593691717,5.0
瑞典,2001,23974.01452761002,2993.1226757733652,2.0
瑞士,2001,17320.21327531706,2516.6003939585175,2.0
瓦努阿图,2001,73.18082666836985,65.87958058210877,6.0
白俄罗斯,2001,19181.238814833072,4027.1569251056544,2.0
百慕大,2001,132.56753808796583,16.75168361096854,2.0
科威特,2001,509.53146439995095,137.22612604006665,2.0
科摩罗,2001,195.47495551057264,157.2835284788503,6.0
科特廸亚,2001,5752.207718101093,4892.28522225308,8.0
秘鲁,2001,18984.155478360768,8316.948263489216,1.0
突尼斯,2001,10068.863586841953,2898.766386576736,2.0
立陶宛,2001,7906.799407765448,1447.7902641878281,2.0
索马里,2001,3273.129827675178,2734.2093689623393,9.0
约旦,2001,2345.304144038013,662.3254270670658,2.0
纳米比亚,2001,782.8932545995515,572.0836459506215,7.0
纽埃,2001,2.3733638209977577,0.8307996150243915,3.0
缅甸,2001,30608.698201962474,30029.858916252593,4.0
罗马尼亚,2001,43822.26902597154,15435.757178200354,2.0
美利坚合众国,2001,611013.3029315855,93943.20201973294,2.0
美属维尔京群岛,2001,158.81699690498357,35.82833589681398,2.0
美属萨摩亚群岛,2001,44.23555888697961,9.989224017049526,3.0
老挝人民民主共和国,2001,2355.278203763878,2030.087105481406,6.0
肯尼亚,2001,16147.022038089579,5219.774375798609,7.0
芬兰,2001,11244.459879227828,2082.0716119833237,2.0
苏丹,2001,12308.853449629967,7073.108638212242,6.0
苏里南,2001,368.6024953786118,165.4923304373124,2.0
英国,2001,166179.4017197105,26866.09730120851,2.0
荷兰,2001,44836.034016358266,5560.257654023663,2.0
莫桑比克,2001,8042.633526872827,3607.8735078383124,8.0
莱索托,2001,1514.7467433552208,747.6914254507114,6.0
菲律宾,2001,44135.71021141453,19916.869702792636,3.0
萨尔瓦多,2001,4386.551636060632,2068.173587018258,2.0
萨摩亚,2001,73.41067258240318,44.31743185565855,5.0
葡萄牙,2001,26721.284971969504,5046.968931781695,2.0
